Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,currently sending,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
asaltypepper,$150.00,Yes,,Good,$150,$0.00,-$150.00,-$150.00,$0.00,$0.00,Yes,0.00%,sent 150 to FD,,,,,,
catlib (cat) ,$50.00,Yes,,Good,$50,$115.92,$65.92,$65.92,$60.00,$5.92,Yes,8.98%,,,,,,,
fqngz,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
seanc15 (sean),$75.00,Yes,,Good,$75,$210.07,$135.07,$135.07,$125.00,$10.07,Yes,7.46%,,ID: EsSY7EtMty,,,,,
StevewithN (steve),$150.00,Yes,,Good,$150,$0.00,-$150.00,-$150.00,$0.00,$0.00,Yes,0.00%,,,,,,,
Jason_Parkinglot (Jparkinglot),$50.00,No,$50.00,Good,$0,$100.42,$50.42,$100.42,$95.00,$5.42,Yes,10.75%,"sent 20, 35.03",,,,,,
nub5000 (nub) ,$200.00,Yes,,Good,$200,$164.97,-$35.03,-$35.03,$0.00,$0.00,Yes,0.00%,,,,,,,
Reido,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,Yes,0.00%,,,,,,,
yunggarth22 (garth),$100.00,Yes,,Good,$100,$135.69,$35.69,$35.69,$32.00,$3.69,Yes,10.34%,CA by me,,,,,,
keaters (box combo) ,$80.00,Yes,,Good,$80,$81.03,$1.03,$1.03,$0.01,$1.02,Yes,99.03%,,,,,,,
TG,$75.00,Yes,,Good,$75,$101.22,$26.22,$26.22,$25.00,$1.22,Yes,4.65%,,,,,,,
Vik,$150.00,Yes,,Good,$150,$108.04,-$41.96,-$41.96,$0.00,$0.00,Yes,0.00%,zelle me,,,,,,
James,$300.00,No,$300.00,Good,$0,$266.20,-$33.80,$266.20,$266.20,$0.00,Yes,0.00%,,,,,,,
gene (john locke),$100.00,Yes,,Good,$100,$71.38,-$28.62,-$28.62,$0.00,$0.00,Yes,0.00%,zelle me,,,,,,
jh,$50.00,Yes,,Good,$50,$23.21,-$26.79,-$26.79,$0.00,$0.00,Yes,0.00%,zelle me,,,,,,
patrick (pat),$100.00,Yes,,Good,$100,$109.20,$9.20,$9.20,$8.00,$1.20,Yes,13.04%,,,,,,,
GREENBEAN,$150.00,Yes,,Good,$150,$0.00,-$150.00,-$150.00,$0.00,$0.00,No,0.00%,send 150 to jon,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
PeanutJr,$100.00,Yes,,Good,$100,,-$100.00,-$100.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
